"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Lat","Lon","timestamp","day","hour"
"30",162114169,2016-08-05,2016-08-05,"09:30",21,"Topanga",2107,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0416 0417 1218",42,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"ETON","CHASE",34.2246,-118.5951,9H 30M 0S,"Fri",9
"31",160120613,2016-08-06,2016-08-06,"13:25",1,"Central",166,"624","BATTERY - SIMPLE ASSAULT","1218 0416",64,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","",34.0421,-118.2469,13H 25M 0S,"Sat",13
"32",160120679,2016-08-06,2016-08-06,"21:15",1,"Central",157,"624","BATTERY - SIMPLE ASSAULT","0416 1218",56,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5TH","SAN PEDRO",34.0442,-118.2439,21H 15M 0S,"Sat",21
"33",160500987,2016-08-06,2016-08-06,"14:15",5,"Harbor",526,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 0416 0419 1218",30,"F","H",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"PACIFIC COAST","AVALON",33.7798,-118.2656,14H 15M 0S,"Sat",14
"34",161220436,2016-08-06,2016-08-06,"17:55",12,"77th Street",1268,"625","OTHER ASSAULT","1218 0913 2004 0416",25,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",625,NA,NA,NA,"100 E  84TH                         PL","",33.9619,-118.2739,17H 55M 0S,"Sat",17
"35",160120711,2016-08-08,2016-08-07,"19:10",1,"Central",192,"820","ORAL COPULATION","1218 0504 0532 0537 0448",57,"F","W",516,"",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",820,NA,NA,NA,"1600 S  HOPE                         ST","",34.0363,-118.2677,19H 10M 0S,"Sun",19
"36",160120713,2016-08-07,2016-08-07,"18:30",1,"Central",162,"624","BATTERY - SIMPLE ASSAULT","0416 0429 1218",46,"M","W",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"600 W  9TH                          ST","",34.0462,-118.2585,18H 30M 0S,"Sun",18
"37",160120719,2016-08-07,2016-08-07,"19:55",1,"Central",143,"210","ROBBERY","0444 0344 1218",18,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"5TH                          ST","HILL                         ST",34.0488,-118.2518,19H 55M 0S,"Sun",19
"38",160120729,2016-08-08,2016-08-07,"08:00",1,"Central",141,"624","BATTERY - SIMPLE ASSAULT","2004 1218 0417",33,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"4TH","FIGUEROA",34.0537,-118.2558,8H 0M 0S,"Sun",8
"39",160120843,2016-08-09,2016-08-07,"05:00",1,"Central",166,"220","ATTEMPTED ROBBERY","0416 0337 1218 0202",28,"F","B",504,"OTHER RESIDENCE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",220,NA,NA,NA,"600    SAN JULIAN                   ST","",34.0428,-118.2461,5H 0M 0S,"Sun",5
"40",160814131,2016-08-07,2016-08-07,"19:45",8,"West LA",857,"624","BATTERY - SIMPLE ASSAULT","1822 1300 1402 0447 1218",58,"M","W",103,"ALLEY",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",624,998,NA,NA,"9000    ALCOTT                       ST","",34.0531,-118.3941,19H 45M 0S,"Sun",19
"41",161013778,2016-08-08,2016-08-07,"20:00",10,"West Valley",1029,"815","SEXUAL PENTRATION WITH A FOREIGN OBJECT","0429 1218 1814 0515",53,"F","W",301,"GAS STATION",212,"BOTTLE","IC","Invest Cont",815,NA,NA,NA,"15600    SHERMAN                      WY","",34.2012,-118.4738,20H 0M 0S,"Sun",20
"42",161317123,2016-08-07,2016-08-07,"12:10",13,"Newton",1352,"745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1307 1218",59,"M","B",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",745,NA,NA,NA,"4400    WALL                         ST","",34.0039,-118.2717,12H 10M 0S,"Sun",12
"43",160120717,2016-08-08,2016-08-08,"02:30",1,"Central",147,"624","BATTERY - SIMPLE ASSAULT","0416 0417 1218",52,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5TH                          ST","SAN JULIAN                   ST",34.0446,-118.245,2H 30M 0S,"Mon",2
"44",160215170,2016-08-08,2016-08-08,"00:30",2,"Rampart",265,"210","ROBBERY","1218 0312 0334 0337 0345 0355",36,"M","W",102,"SIDEWALK",102,"HAND GUN","IC","Invest Cont",210,NA,NA,NA,"8TH                          ST","ALVARADO",34.0549,-118.2778,30M 0S,"Mon",0
"45",161420875,2016-08-08,2016-08-08,"03:40",14,"Pacific",1413,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1218 2004",65,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"3RD","ROSE",33.997,-118.4761,3H 40M 0S,"Mon",3
"46",161420914,2016-08-09,2016-08-08,"09:10",14,"Pacific",1489,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0400 1218 2004",29,"F","W",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"94TH                         ST","HINDRY                       AV",33.9509,-118.3725,9H 10M 0S,"Mon",9
"47",162114389,2016-08-08,2016-08-08,"19:30",21,"Topanga",2156,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2000 0401 2004 0906",21,"F","W",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",626,NA,NA,NA,"21800    OXNARD                       ST","",34.1865,-118.6017,19H 30M 0S,"Mon",19
"48",160101156,2016-08-09,2016-08-09,"18:00",1,"Central",166,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0416 0429",56,"F","B",102,"SIDEWALK",308,"STICK","IC","Invest Cont",230,NA,NA,NA,"6TH                          ST","SAN JULIAN                   ST",34.0428,-118.2461,18H 0M 0S,"Tues",18
"49",160120821,2016-08-09,2016-08-09,"05:00",1,"Central",111,"121","RAPE, FORCIBLE","0500 1218 2004",NA,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,998,NA,NA,"LOS ANGELES","ALAMEDA",34.0563,-118.2374,5H 0M 0S,"Tues",5
"50",160120854,2016-08-09,2016-08-09,"21:00",1,"Central",147,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2004 2000 1814 0319 2002 1206 0416 0429",65,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"300 E  5TH                          ST","",34.0453,-118.2443,21H 0M 0S,"Tues",21
"51",160120886,2016-08-10,2016-08-09,"22:00",1,"Central",166,"121","RAPE, FORCIBLE","1218 0500",34,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,998,NA,NA,"600    SAN JULIAN                   ST","",34.0428,-118.2461,22H 0M 0S,"Tues",22
"52",160120898,2016-08-10,2016-08-09,"09:50",1,"Central",165,"624","BATTERY - SIMPLE ASSAULT","1218 0416",25,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"200 E  6TH                          ST","",34.0446,-118.249,9H 50M 0S,"Tues",9
"53",160318593,2016-08-09,2016-08-09,"16:00",3,"Southwest",359,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 1822 0416",55,"F","W",102,"SIDEWALK",311,"HAMMER","IC","Invest Cont",230,NA,NA,NA,"FLOWER                       ST","39TH                         ST",34.014,-118.2816,16H 0M 0S,"Tues",16
"54",160514285,2016-08-09,2016-08-09,"15:00",5,"Harbor",564,"930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0400 0421 1218",57,"F","H",128,"BUS STOP OR LAYOVER",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",930,NA,NA,NA,"100 W  7TH                          ST","",33.7378,-118.2804,15H 0M 0S,"Tues",15
"55",160915189,2016-08-09,2016-08-09,"15:00",9,"Van Nuys",964,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0352 1420 1218 0344",34,"M","W",404,"DEPARTMENT STORE",NA,"","AA","Adult Arrest",440,NA,NA,NA,"14000    RIVERSIDE                    DR","",34.1576,-118.438,15H 0M 0S,"Tues",15
"56",161114566,2016-08-09,2016-08-09,"03:45",11,"Northeast",1124,"624","BATTERY - SIMPLE ASSAULT","1218 2004 0416",57,"M","H",504,"OTHER RESIDENCE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"FLETCHER","GLENDALE                     FY",34.1179,-118.2451,3H 45M 0S,"Tues",3
"57",160120951,2016-08-10,2016-08-10,"16:00",1,"Central",157,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2004 1813 1814 0408 0444 0421 0429 0319 2000",27,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"500 E  6TH                          ST","",34.0423,-118.2452,16H 0M 0S,"Wed",16
"58",160101155,2016-08-10,2016-08-10,"00:05",1,"Central",119,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0416 0417",51,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"900 N  VIGNES                       ST","",34.0566,-118.2319,5M 0S,"Wed",0
"59",160215307,2016-08-10,2016-08-10,"11:10",2,"Rampart",216,"210","ROBBERY","0344 0432 0355 1218",41,"M","W",102,"SIDEWALK",113,"SIMULATED GUN","IC","Invest Cont",210,NA,NA,NA,"ROSEMONT                     AV","SANTA YNEZ",34.0759,-118.2668,11H 10M 0S,"Wed",11
"60",160120939,2016-08-11,2016-08-11,"01:45",1,"Central",158,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 2004 1218 1813 1814 0416",55,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"7TH                          ST","CENTRAL                      AV",34.0368,-118.2412,1H 45M 0S,"Thurs",1
"61",160120982,2016-08-12,2016-08-11,"13:00",1,"Central",155,"624","BATTERY - SIMPLE ASSAULT","0416 1218",NA,"F","B",726,"POLICE FACILITY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"200 E  6TH                          ST","",34.0448,-118.2474,13H 0M 0S,"Thurs",13
"62",160120989,2016-08-11,2016-08-11,"19:00",1,"Central",155,"624","BATTERY - SIMPLE ASSAULT","0416 0429 2004 1218",51,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH","WALL",34.0435,-118.2471,19H 0M 0S,"Thurs",19
"63",160318694,2016-08-11,2016-08-11,"09:50",3,"Southwest",353,"624","BATTERY - SIMPLE ASSAULT","1218 1822 0429",56,"M","B",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"CRENSHAW","COLISEUM",34.0199,-118.3354,9H 50M 0S,"Thurs",9
"64",161815914,2016-08-11,2016-08-11,"13:30",18,"Southeast",1802,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1609 1218 1202 0913",59,"M","B",101,"STREET",310,"CONCRETE BLOCK/BRICK","IC","Invest Cont",230,NA,NA,NA,"200 W  87TH                         ST","",33.9586,-118.2761,13H 30M 0S,"Thurs",13
"65",160121066,2016-08-12,2016-08-12,"20:50",1,"Central",157,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 0411 2004 1218",25,"M","B",101,"STREET",201,"KNIFE WITH BLADE OVER 6 INCHES IN LENGTH","IC","Invest Cont",230,NA,NA,NA,"5TH                          ST","STANFORD",34.0426,-118.2412,20H 50M 0S,"Fri",20
"66",161220848,2016-08-12,2016-08-12,"12:40",12,"77th Street",1245,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 0913 1218 0446 0359 1402",42,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308,"STICK","AO","Adult Other",230,NA,NA,NA,"6800 S  NORMANDIE                    AV","",33.9778,-118.3003,12H 40M 0S,"Fri",12
"67",160121106,2016-08-13,2016-08-13,"12:00",1,"Central",146,"624","BATTERY - SIMPLE ASSAULT","0416 0446 1218",61,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5TH","LOS ANGELES",34.0461,-118.2476,12H 0M 0S,"Sat",12
"68",160121132,2016-08-13,2016-08-13,"22:15",1,"Central",118,"341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","1218 0344",52,"M","B",109,"PARK/PLAYGROUND",NA,"","IC","Invest Cont",341,NA,NA,NA,"1500 N  BROADWAY","",34.0713,-118.2291,22H 15M 0S,"Sat",22
"69",161114789,2016-08-14,2016-08-13,"22:30",11,"Northeast",1149,"624","BATTERY - SIMPLE ASSAULT","0416 1822 1218",60,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"FIGUEROA","AVENUE 53",34.1068,-118.1984,22H 30M 0S,"Sat",22
"70",161114797,2016-08-14,2016-08-13,"13:50",11,"Northeast",1159,"624","BATTERY - SIMPLE ASSAULT","2000 0448 0444 0429 1218 0408 1813 2004",47,"F","H",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"4700 N  FIGUEROA                     ST","",34.1002,-118.2038,13H 50M 0S,"Sat",13
"71",160121162,2016-08-14,2016-08-14,"14:10",1,"Central",157,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1817 1218 0913 0416 0305",35,"M","H",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"5TH","SAN PEDRO",34.0442,-118.2439,14H 10M 0S,"Sun",14
"72",160121190,2016-08-14,2016-08-14,"17:00",1,"Central",148,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1218 2004 0344",28,"F","B",102,"SIDEWALK",NA,"","IC","Invest Cont",626,NA,NA,NA,"5TH                          ST","TOWNE",34.043,-118.242,17H 0M 0S,"Sun",17
"73",160800874,2016-08-15,2016-08-14,"22:40",8,"West LA",853,"330","BURGLARY FROM VEHICLE","0344 1218",42,"F","H",104,"DRIVEWAY",NA,"","AO","Adult Other",330,998,NA,NA,"11300    IOWA                         AV","",34.0453,-118.4474,22H 40M 0S,"Sun",22
